id,Gender,Age,purpose_of_travel,Type of Travel,Type Of Booking,Hotel wifi service,Departure/Arrival  convenience,Ease of Online booking,Hotel location,Food and drink,Stay comfort,Common Room entertainment,Checkin/Checkout service,Other service,Cleanliness,satisfaction
70172,Male,13,aviation,Personal Travel,Not defined,3,4,3,1,5,5,5,4,5,5,neutral or dissatisfied
5047,Male,25,tourism,Group Travel,Group bookings,3,2,3,3,1,1,1,1,4,1,neutral or dissatisfied
110028,Female,26,tourism,Group Travel,Group bookings,2,2,2,2,5,5,5,4,4,5,satisfied
24026,Female,25,tourism,Group Travel,Group bookings,2,5,5,5,2,2,2,1,4,2,neutral or dissatisfied
119299,Male,61,aviation,Group Travel,Group bookings,3,3,3,3,4,5,3,3,3,3,satisfied
111157,Female,26,business,Personal Travel,Individual/Couple,3,4,2,1,1,1,1,4,4,1,neutral or dissatisfied
82113,Male,47,academic,Personal Travel,Individual/Couple,2,4,2,3,2,2,2,3,5,2,neutral or dissatisfied
96462,Female,52,aviation,Group Travel,Group bookings,4,3,4,4,5,5,5,4,5,4,satisfied
79485,Female,41,tourism,Group Travel,Group bookings,1,2,2,2,4,3,1,4,1,2,neutral or dissatisfied
65725,Male,20,academic,Group Travel,Individual/Couple,3,3,3,4,2,3,2,4,3,2,neutral or dissatisfied
34991,Female,24,academic,Group Travel,Individual/Couple,4,5,5,4,2,2,2,3,5,2,neutral or dissatisfied
51412,Female,12,tourism,Personal Travel,Not defined,2,4,2,2,1,1,1,5,5,1,neutral or dissatisfied
98628,Male,53,tourism,Group Travel,Individual/Couple,1,4,4,4,1,1,1,4,4,1,neutral or dissatisfied
83502,Male,33,academic,Personal Travel,Individual/Couple,4,2,4,3,4,4,4,2,2,4,satisfied
95789,Female,26,aviation,Personal Travel,Individual/Couple,3,2,3,2,2,2,2,2,1,2,neutral or dissatisfied
100580,Male,13,personal,Group Travel,Individual/Couple,2,1,2,3,4,1,4,1,3,4,neutral or dissatisfied
71142,Female,26,business,Group Travel,Group bookings,3,3,3,3,4,4,4,5,4,4,satisfied
127461,Male,41,tourism,Group Travel,Group bookings,4,4,2,4,4,4,5,3,5,5,satisfied
70354,Female,45,academic,Group Travel,Group bookings,4,4,4,4,3,5,5,3,5,4,satisfied
66246,Male,38,tourism,Personal Travel,Individual/Couple,2,3,3,2,5,5,5,3,2,5,neutral or dissatisfied
39076,Male,9,personal,Group Travel,Individual/Couple,2,4,2,4,2,1,2,4,3,2,neutral or dissatisfied
22434,Female,17,tourism,Personal Travel,Individual/Couple,3,1,3,3,5,5,5,3,4,5,neutral or dissatisfied
43510,Female,43,business,Personal Travel,Individual/Couple,3,5,3,5,5,5,3,3,3,4,neutral or dissatisfied
114090,Female,58,tourism,Personal Travel,Individual/Couple,4,5,4,5,4,4,4,2,4,2,neutral or dissatisfied
105420,Female,23,personal,Group Travel,Individual/Couple,5,0,5,1,1,1,1,3,5,1,satisfied
102956,Male,57,personal,Personal Travel,Individual/Couple,4,4,4,1,5,5,5,4,5,5,neutral or dissatisfied
18510,Female,33,personal,Group Travel,Group bookings,1,1,1,1,1,3,4,5,4,2,satisfied
14925,Female,49,business,Group Travel,Not defined,4,4,4,4,2,1,4,2,4,2,satisfied
118319,Female,36,tourism,Group Travel,Group bookings,3,1,1,1,1,1,3,2,3,2,neutral or dissatisfied
75460,Male,22,business,Personal Travel,Individual/Couple,3,2,3,3,3,1,3,4,2,3,neutral or dissatisfied
48492,Female,31,personal,Group Travel,Group bookings,4,4,4,4,5,5,5,1,5,5,satisfied
27809,Female,15,academic,Group Travel,Individual/Couple,2,2,2,3,5,5,5,2,4,5,neutral or dissatisfied
70594,Female,35,academic,Group Travel,Group bookings,4,5,4,4,4,4,3,4,3,4,satisfied
30089,Female,67,academic,Personal Travel,Individual/Couple,4,5,4,1,2,5,5,5,5,5,neutral or dissatisfied
58779,Male,37,tourism,Group Travel,Group bookings,3,3,3,4,1,1,1,1,4,1,neutral or dissatisfied
79659,Female,40,aviation,Group Travel,Individual/Couple,1,4,4,4,1,1,1,3,3,1,neutral or dissatisfied
110293,Female,34,academic,Group Travel,Group bookings,3,4,4,3,5,2,5,4,5,5,neutral or dissatisfied
48014,Male,40,personal,Personal Travel,Not defined,4,3,4,2,2,2,2,3,4,2,neutral or dissatisfied
96517,Female,47,academic,Personal Travel,Individual/Couple,4,4,4,3,2,5,4,4,4,4,satisfied
64685,Male,41,tourism,Group Travel,Group bookings,1,1,1,2,1,1,1,4,4,1,neutral or dissatisfied
64138,Male,39,tourism,Group Travel,Group bookings,4,4,4,4,3,5,4,4,4,3,satisfied
60373,Female,25,business,Group Travel,Group bookings,3,5,3,4,3,3,3,5,5,3,neutral or dissatisfied
14849,Male,41,business,Group Travel,Group bookings,0,0,0,3,2,3,4,4,4,3,satisfied
28319,Female,38,personal,Group Travel,Group bookings,3,3,3,3,2,4,5,2,5,4,satisfied
103012,Female,50,tourism,Group Travel,Group bookings,1,1,1,1,3,5,3,4,3,5,satisfied
124114,Male,29,aviation,Group Travel,Group bookings,1,1,1,1,5,5,5,5,4,5,satisfied
107794,Female,22,tourism,Personal Travel,Group bookings,2,4,2,1,4,4,4,4,5,4,neutral or dissatisfied
81983,Female,13,personal,Group Travel,Group bookings,1,1,1,1,1,1,1,1,4,1,neutral or dissatisfied
53164,Male,54,tourism,Group Travel,Group bookings,3,3,3,3,5,3,5,4,5,3,satisfied
82042,Male,21,tourism,Personal Travel,Individual/Couple,2,2,2,3,5,5,5,1,3,5,neutral or dissatisfied
72127,Male,28,aviation,Group Travel,Individual/Couple,2,1,1,1,2,2,2,3,3,2,neutral or dissatisfied
113046,Male,27,academic,Group Travel,Group bookings,3,3,3,3,4,4,4,4,5,4,satisfied
1050,Female,69,tourism,Group Travel,Individual/Couple,5,5,5,5,1,3,5,4,5,2,satisfied
54886,Male,35,business,Personal Travel,Individual/Couple,2,3,2,4,4,4,4,4,1,4,neutral or dissatisfied
125918,Female,60,academic,Personal Travel,Individual/Couple,2,2,2,3,1,4,4,4,4,4,neutral or dissatisfied
7467,Female,45,tourism,Group Travel,Group bookings,2,4,2,2,4,5,4,3,4,5,satisfied
78972,Female,57,personal,Group Travel,Group bookings,0,0,0,1,3,5,5,4,5,5,satisfied
126625,Male,40,tourism,Group Travel,Group bookings,5,5,5,5,2,5,5,3,5,4,satisfied
114501,Female,38,academic,Group Travel,Group bookings,3,3,3,3,4,4,4,2,3,4,neutral or dissatisfied
114813,Male,23,aviation,Group Travel,Individual/Couple,2,4,2,1,4,4,4,5,5,4,neutral or dissatisfied
32167,Male,39,tourism,Group Travel,Group bookings,2,2,2,3,3,3,3,2,4,3,neutral or dissatisfied
68001,Female,52,business,Group Travel,Group bookings,2,2,2,2,4,4,4,4,4,3,satisfied
117052,Male,25,tourism,Group Travel,Individual/Couple,2,1,2,2,4,3,4,2,2,4,neutral or dissatisfied
8661,Female,48,business,Group Travel,Group bookings,3,3,3,3,5,4,5,4,5,4,satisfied
57165,Female,59,academic,Group Travel,Group bookings,5,5,5,5,2,4,4,3,4,4,satisfied
78610,Male,25,academic,Group Travel,Group bookings,3,3,3,3,4,4,4,4,4,4,satisfied
51058,Male,38,tourism,Personal Travel,Individual/Couple,2,4,2,3,4,4,4,4,5,4,neutral or dissatisfied
92027,Male,46,tourism,Group Travel,Group bookings,2,2,2,2,2,5,5,5,5,4,satisfied
115534,Male,50,business,Group Travel,Individual/Couple,2,1,1,1,2,2,2,2,3,2,neutral or dissatisfied
9261,Female,38,personal,Group Travel,Not defined,4,4,4,4,4,4,4,1,4,4,satisfied
61033,Female,53,academic,Group Travel,Group bookings,4,4,4,4,3,5,5,4,5,5,satisfied
75930,Male,30,aviation,Group Travel,Not defined,3,2,2,2,3,3,3,1,2,3,neutral or dissatisfied
112142,Male,39,tourism,Group Travel,Group bookings,2,2,2,4,5,5,5,5,5,5,neutral or dissatisfied
24518,Male,66,academic,Personal Travel,Not defined,1,4,1,2,2,2,2,5,5,2,neutral or dissatisfied
112524,Male,45,tourism,Personal Travel,Individual/Couple,3,5,3,2,1,1,1,3,4,1,neutral or dissatisfied
101639,Female,25,tourism,Group Travel,Group bookings,5,1,5,4,1,1,1,4,5,1,satisfied
85018,Male,52,tourism,Group Travel,Group bookings,2,4,4,4,1,3,2,1,2,4,neutral or dissatisfied
